datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
1/1/2003 23:43,marion,in,us,triangle,20seconds,we were not scared they didnt look harmful,3/21/2003,-85.6591667
8/25/2010 05:00,atlantic city,nj,us,light,20 minutes,Multicolored light in the sky.  ((NUFORC Note:  Possibly a &quot;twinkling&quot; star.  PD)),8/30/2010,-74.4233333
9/23/2008 14:00,plover,wi,us,sphere,1 min,Small metallic spherical object seen hovering on more than one occasion over Hwy 54 in Plover,12/12/2009,-89.54388890000001
11/22/2005 22:00,ledegem (belgium),nan,nan,nan,a few hours&#44 did not cont,Gentlemen&#44  my person saw at the date and time ( could be I missed a few hours or a day because it was in the distance ) a non moving,12/16/2005,3.127457
7/27/2010 24:00,playa del rey,ca,us,light,1 sec,I saw this happen one time before but never reported it but Wed night I was star gazing and a really bright light turned on and then of,8/24/2010,-118.4447222
5/29/2013 03:15,la mirada,ca,us,flash,20sec,Bright flash over house,6/2/2013,-118.0111111
2/1/2000 09:00,cottage grove,or,us,triangle,1 min,black silent triangle flighs over dorena lake ruinning my fishing trip,6/12/2008,-123.0583333
3/3/2001 02:40,bakersfield,ca,us,circle,10+ sec.,Many different colors and lights.................,2/22/2002,-119.0177778
8/14/2011 20:30,dixon,il,us,disk,15-20 secs,UFO photo Dixon&#44 Illinois August 14&#44 2011,8/21/2011,-89.4794444
3/4/2005 21:19,halifax (canada),ns,ca,light,3 minutes,Lights coming through clouds,5/11/2005,-63.6
6/1/1983 19:00,st. louis (outside),mo,us,disk,3 minutes,This was way back in 1983 when this sighting took place. The saucer was sighted south from St. Louis as I was moving toward  Dallas Tex,11/16/2002,-90.1977778
4/25/1966 20:25,reading,pa,us,other,4-5 minutes,There is not one doubt in my mind as to what it was that I saw. I am an electronic (Retired) technician and know what I am talking abou,10/11/2005,-75.9272222
1/26/2009 20:20,randolph,nj,nan,triangle,5-7 minutes,3 bright orange lights over Randolph&#44 NJ&#44 evening of 01/26/09 in Tringular formation,3/19/2009,-74.574725
8/16/2004 01:00,palmdale,ca,us,triangle,1 min,Palmdale&#44 California 3 Triangles Sighted  While out photographing the meteor shower show to take in the skies of East Palmdale Californ,9/1/2004,-118.1155556
10/5/2010 19:00,de soto,ia,us,light,1 hour,5 amazingly bright  light objects in  bright redish/orange  October sunset. in  IOWA.,11/21/2010,-94.0094444
1/2/2010 13:00,phoenix,az,us,rectangle,10 seconds,A bright light in Phoenix hovered above houses in broad daylight&#44 then vanished,2/14/2010,-112.0733333
