datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
11/22/1977 23:30,tahlequah,ok,us,triangle,five minutes,Triangular shaped object stopped over horse pasture in Tahlequah&#44 Oklahoma in 1977,1/10/2009,-94.9697222
1/20/2007 17:00,durham (uk/england),nan,gb,circle,2 minutes,I saw a UFO and it was circle shaped and its colour was like a purple. It left a small trail. It also had flashing lights all over it a,2/1/2007,-1.566667
9/1/2009 22:00,muncie,in,us,sphere,5 min,Bright orange light in the northwest sky near the Muncie airport.,12/12/2009,-85.38638890000001
1/18/2014 20:45,portland,or,us,nan,1 minute,I was sitting in my family room watching the tv. We have  high  ceilings in the family room with windows and can see the sky. All of a,1/24/2014,-122.675
6/23/2012 23:00,wrightsville beach,nc,us,changing,25-30 minutes,multiple objects blinking different colors over ocean and 3 bright white lights scanning beach at ground level,7/4/2012,-77.7966667
1/30/2004 23:00,kirchzell (germany),nan,de,light,20 min,Sighting/Abduction?,2/12/2004,9.177778
9/1/1994 18:00,san francisco,ca,us,sphere,10-15 minutes,glowing ball just under the surf about 2 1/2 feet off the beach south of san francisco/ocean beach approx 9/94,10/30/2006,-122.4183333
11/1/2009 20:00,corpus christi,tx,us,unknown,30 seconds,What looked like a star moved to the right very slowly and  then got dimmer and slowy vanished.,12/12/2009,-97.39611109999998
3/9/2002 03:25,syracuse,ny,us,fireball,5 minutes,Fire ball spotted while on highway,3/19/2002,-76.1477778
6/19/2007 23:00,sioux city,ia,us,light,30 minutes,Outside on breezeless night with neighbors talking when several lights appeared across the sky.,8/7/2007,-96.4
9/19/2004 22:00,johnson city,tn,us,egg,8 minutes,College Professor reports acorn shaped anomolous object,9/29/2004,-82.3536111
5/6/2012 22:34,westville,il,us,circle,11 min,3 red flashing ufos in a triangular formation.,5/13/2012,-87.63861109999998
6/20/2009 19:00,gilroy,ca,us,sphere,3 minutes,I saw a white sphere shaped object floating in the sky. I watched it float in place for a few minutes until it dissapeared.,8/5/2009,-121.5672222
3/1/2003 13:30,eugene,or,us,cigar,10 seconds,sunny day&#44 huge jet-shaped craft with tiny red/black wings very low to the ground rose noiselessly into a  cloud. didn&#39t emerge.,3/11/2003,-123.0855556
6/21/2002 23:00,warren,pa,us,sphere,5-minutes,wife and i were sitting on front porch late that night i seen a flash in sky i said to my wife must be heat lightning not more then 30,9/6/2002,-79.14527779999997
5/10/2001 21:00,splendora,tx,us,unknown,34minutes,it just stayed in one spot and changed color rapidly  then after 30 min it feaded away with no noise or movement,8/5/2001,-95.1608333
3/1/2000 00:30,pineville (pinnacle strip mine),wv,us,triangle,15 mins,Saw a triangle shaped craft&#44 very large&#44 made very little noise&#44 low altitude.,3/16/2000,-81.5372222
3/14/2004 22:00,valencia,ca,us,disk,one hour plus,Three horizontally placed lights hovering in the sky&#44 attached to an elliptical object.,3/17/2004,-118.6086111
12/17/2005 21:30,jacksonville,fl,us,triangle,3 min,Dark triangle shape with v-shaped lights over the St Johns River.,2/14/2006,-81.6558333
5/24/2013 21:00,midlothian,il,us,triangle,5 minutes,Group of orange lights flying close together,6/2/2013,-87.7175
3/20/2000 21:00,fort meade,md,nan,fireball,about 2-3 hrs.,flaming crafts seen over Ft. Meade&#44MD around march 20th 2000.,12/2/2000,-76.726777
6/22/2013 23:00,meadows of dan,va,nan,sphere,5-7 minutes,Red orange lights in sky night of june supermoon 2013,7/3/2013,-80.395278
