datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
8/20/2007 04:50,kota (india),nan,nan,other,6 sec,Fast moving star&#44 crossed whole sky just in 6 sec.,8/12/2008,75.86475300000002
10/15/1967 21:00,north hollywood,ca,us,fireball,15+ minutes,A fireball over the San Fernando Valley in 1967,12/19/2003,-118.37805559999998
7/25/2004 04:15,casa grande/phoenix (between),az,nan,unknown,approx 3 minutes,Small light moving fast&#44 suddenly changed shape to expose more lights&#44 shape of craft&#44 and a source of the lights.,8/11/2004,-111.972388
7/27/2008 01:30,florence,ky,us,triangle,5min.,I left my boyfriends house in Hebron KY around 1:15am.  I was headed south to my home in Crittenden KY.  I noticed a large&#44 bright oran,8/12/2008,-84.6266667
9/16/2005 19:20,edgewater,fl,us,sphere,30 seconds,Fire from the sky,10/11/2005,-80.9025
6/30/1976 18:00,cambridge,ma,us,diamond,1 minute,Jefferson Park&#44 Cambridge Mass&#44 2 children sight 50ft craft-speak about it 30+years later,8/21/2011,-71.10611109999998
11/25/1998 21:30,springtown,pa,us,light,30 seconds,Driving home we witnessed a solid red light hovering about the below the tree line on the right side of the road.,1/28/1999,-75.2897222
11/19/2007 15:30,coto de caza,ca,us,other,15 seconds,Beautiful bright blue-white round light flying low across daylit sky:  November 19&#44 2007 Orange County&#44 Ca,11/28/2007,-117.5861111
5/4/2010 22:30,davie,fl,us,other,10 minutes,Silent&#44 translucent Y shaped object just above tree level&#44 steady course with slow climb&#44 approx 10mph,5/12/2010,-80.2333333
5/20/2012 10:42,holden beach,nc,us,triangle,30 seconds,It seemed like just a red light coming at us at 100mph&#44 once over us it seemed to slow down A LOT&#44 it was triangle and had 4 lights tha,5/29/2012,-78.3041667
10/11/2013 22:18,windsor (canada),on,ca,light,3-5 minutes,5 orange lights seen in sky over windsor.,10/14/2013,-72.0
11/13/2004 22:31,worcester,ma,us,light,1 sec.,I was standing outside having a cigarette&#44 and saw a red light on the horizon.  It was south and it zigzagged,12/3/2004,-71.80277779999999
3/11/2010 22:05,shrewsbury (uk/england),nan,gb,sphere,6 minutes,huge spheres by residential housing in shrewsbury.,4/13/2010,-2.733333
4/24/2013 23:00,forsyth,mo,us,light,6 minutes,Hovering white lights over Branson Forsyth fast moving objects that would move in and stop and hover for quite sometime,5/15/2013,-93.1197222
9/15/2009 20:00,seaside,or,us,light,1.5 hrs.,Slow moving&#44 multi-colored and unexplainable by me&#44 a longtime resident. ((NUFORC Note:  Possible star?  PD)),12/12/2009,-123.9213889
7/24/2009 22:15,moneta,va,us,light,20 seconds,Extremely bright object quicky fade to an orange glow then disappear.,8/5/2009,-79.6175
