datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
2/14/2014 21:30,loveland,co,us,unknown,1 minute,Hovering aircraft 3 bright white lights.,2/21/2014,-105.07444440000002
3/21/2005 20:00,lafayette,in,us,circle,2 hours,Strange Orange light patterns in sky,4/16/2005,-86.87527779999998
3/14/2003 23:30,hollidaysburg,pa,us,oval,3 hour,APPEARED IN THE WEST.  OVAL SHAPED WITH ROTATING MUTIPLE COLORS.,3/21/2003,-78.3891667
7/20/2012 23:45,princeton,in,us,circle,45 minutes,45 mins&#44 moving in many directions&#44 red/blue lights,8/5/2012,-87.5675
12/10/2007 18:00,gardendale,al,us,other,2 hours,Strange object over Alabama&#44 cloudy and spherical in shape.  ((NUFORC Note:  Missile venting fuel in space.  PD)),3/4/2008,-86.81277779999998
6/1/1941 13:00,ludington (hamlin lake),mi,us,disk,30 seconds,As a boy some 60 plus years ago I saw a round silver disc in the sky when I looked up from playing with ant hills.,10/7/2003,-86.4525
5/1/2009 05:10,carson,ms,us,sphere,10min,same as 4/3/09 &#9;Sumrall&#44 Ms,6/9/2009,-89.795
11/11/1998 21:45,oxford,ms,us,triangle,45sec-1.5min,Slow fliying&#44 triangular shaped object&#44 that moved from the horizon&#44 overhead&#44 until it vanished from sighton the opposite horizon,11/19/1998,-89.5191667
11/1/2011 02:45,akron,oh,us,light,30 minutes,Strange Lights Seen in Ohio Hang Above for Two Nights.  ((NUFORC Note:  Possible sighting of stars&#44 we suspect??  PD)),12/12/2011,-81.5191667
11/21/2002 17:30,san diego,ca,us,unknown,17:40,Me and my 2 friends get out of music class at 5:10. We play around until 1 of my friend talks about UFOs. My other friend said he saw s,12/23/2002,-117.1563889
8/1/2001 19:15,binghamton,ny,us,egg,45 min,a black with gold streaks with a haze around it (ufo) went into a cloud and never came out the other end.,8/5/2001,-75.9183333
10/12/2013 22:30,west newbury,ma,nan,sphere,10 minutes,Witness one saw sphere shape with multiple lights&#44 stationary for a while.  green to red.    Witness 2 saw zig zagging pattern&#44 like a,10/14/2013,-70.845833
