datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
1/31/2014 18:36,salem,or,us,unknown,35 seconds,Formation of glowing red objects,2/7/2014,-123.0338889
1/9/1995 03:30,marion,ny,us,nan,3 min.,Young girl sees bright light streaming through bedroom window.  Sees 4&#39 humanoid &amp; weird lights in yard.,11/2/1999,-77.1894444
2/8/2007 00:34,doral,fl,us,light,5 minutes,I smoke a cigarette before i go to sleep and i step outside my apartment building in the third floor. I like smoking there cause i have,2/24/2007,-80.3555556
2/25/2002 21:30,phoenix,az,us,unknown,7 min,Phoenix Az&#44  6-8 lights 2-25-02  21:30&#44 Lights seemed to make up larger craft,3/19/2002,-112.0733333
12/6/2013 22:30,kingston,ny,us,light,5 minutes,Kingston&#44  NY Two brilliant red stationary lights accelerate quickly in coordinated fashion and disappear.,1/10/2014,-73.9977778
12/24/1977 23:00,philadelphia,ny,us,oval,20 seconds,multi colored,5/14/2002,-75.7091667
12/24/2010 20:00,columbia,pa,us,light,3 minutes,Lights hovering over the field.,2/4/2013,-76.5047222
7/7/1962 02:00,lindsay,ok,us,cylinder,hours,white beam of light and cylindrical object,10/31/2008,-97.6022222
8/27/1999 20:58,southfield,mi,us,light,1 minute,Slow moving extremely bright white light&#44 bright enough to hurt your eyes&#44 rapidly changing to low density light while still moving.,9/12/1999,-83.2219444
4/6/2002 22:00,maui,hi,nan,oval,5 mins.,An oval shaped spacecraft with bright lights hovered above our car on a deserted Hawaiin road&#44 one humid night in Maui.,6/12/2002,-156.331925
4/2/2009 21:30,anahuac,tx,us,cylinder,45 minutes,On 4-2-09 one picture was taken at 9:30 pm&#44 and another at 10:10 pm with our Moultrie Game Spy D40 Digital  game camera&#44 and got this i,5/12/2009,-94.6825
9/1/2006 01:00,kirkland,wa,us,rectangle,5 sec,An open rectangle in the sky above Seattle,12/7/2006,-122.2075
9/26/2007 04:00,henderson,nv,us,other,10 seconds,Very fast half moon craft.,10/8/2007,-114.9811111
3/13/2005 00:00,holland,mi,us,circle,2 minutes,The UFO&#39s was round with white lights coming out of the top of it. It had kind of a like pinkish glow around it. Then after about 2 min,11/3/2005,-86.10888890000003
