datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
8/31/2006 20:15,onion creek,wa,us,light,30 sec.,this is my second entry for august...an oddity- a light&#44 as bright as the brightest star&#44 traveling approx. 35 deg. off horizon in east,10/30/2006,-117.8105556
9/25/2012 22:00,salvo,nc,us,formation,10 minutes,Several bright lights in the sky over the Outer Banks,10/30/2012,-75.4733333
1/2/2001 22:00,ponca,ar,us,triangle,5 minutes,Citing of a triangle shaped craft on the river.,2/18/2001,-93.3644444
1/17/2009 15:32,phoenix,az,us,fireball,1 second,Meteor like fireball witnessed on a clear sunny midafternoon.,3/19/2009,-112.0733333
1/14/1993 03:55,so. cal.,ca,nan,nan,5 min.,Woman repts. bizarre incidents during which she heard loud buzzing sound&#44 red light pouring through window.  Health effects.,11/2/1999,-119.417932
1/4/2012 22:20,lovingston,va,us,light,5 seconds,Glowing green UFO in Virginia,1/12/2012,-78.8711111
7/20/2007 00:51,chesapeake,va,us,changing,45 min,Multiple objects visible at miles over Chesapeake VA Near Cornland park,8/7/2007,-76.2752778
2/18/2009 18:00,morrisville,pa,us,oval,1 min,Green lights in oval shape seen over Morrisville PA,3/19/2009,-74.7883333
4/15/2009 12:00,montpelier,id,us,cross,about 3 minutes,4 lobed craft hovering over Montpelier&#44 ID in broad daylight.,7/4/2011,-111.29694440000002
10/10/2013 20:00,hudson,nh,us,light,5 seconds,White&#44 orb above the clouds moving very fast&#44 no flashing lights&#44 zoomed across the sky and disappeared out of sight.,10/14/2013,-71.44027779999998
7/6/2013 22:00,fairfax,mn,us,triangle,5 minutes-intervals,Bright-orange-fire-in-sky-moving-formation-same-speed-no-sound-,7/14/2013,-94.7205556
6/24/2005 03:00,grand junction,co,us,circle,10 seconds,Bright White Circled Craft passes over Grand Junction.,12/16/2005,-108.55
10/15/1997 23:30,fort william (uk/scotland),nan,nan,unknown,-30sec,UFO exploded in the West Highlands of Scotland..,2/18/2001,-5.105218
9/18/2010 22:00,pikeville,ky,us,nan,less than 5 seconds,Large bright white non-flashing light moved 45-degrees in the sky in approximately a second. NOT A METEOR,11/21/2010,-82.51888890000002
12/4/2007 22:00,tucson,az,us,unknown,1/2 hour,Last night I went out to see if I could spot the comet.  Instead I noticed that there was a &#8220;star&#8221; that seemed to be moving.  It would,3/4/2008,-110.9258333
7/8/2002 23:15,chihuahua (mexico),nan,nan,triangle,3min,Vimos una nave triangular con luz roja en cada punta del triangulo&#44 volaba a una velocidad baja a unos 200 mts de altura&#44 la noche esta,7/26/2002,-106.0691
5/26/2002 22:30,bigelow,ar,us,light,3 minutes,More strange events in skies of rural Ark,6/12/2002,-92.6297222
11/17/2009 09:00,chicago,il,us,oval,9:00:05,Oval/circular object with red/yellow lights,12/12/2009,-87.65
9/9/2003 12:23,lake worth,fl,us,other,30-50 seconds,I see 3 Orange &quot;Orbs&quot; in a triangular formation,9/12/2003,-80.05722220000001
4/16/2010 20:30,la vega (dominican republic),nan,nan,triangle,6 min,Big triangle with a lot of lights&#44 no sound.  ((NUFORC Note:  Possible airliner&#44 we wonder??  PD)),5/12/2010,-70.53
6/8/1998 21:00,newport,ri,us,light,25 minutes,Clear night+high visability&#442  yellow lights&#44even shading&#44no vertical movement&#44close proximatey&#44very long visual time,2/18/2001,-71.3133333
3/15/2014 20:40,middlesex,nc,us,circle,15 minutes,Triangle shaped movement&#44 Full moon&#44 ides of march&#44 weird shaped clouds,3/18/2014,-78.2041667
10/1/2004 20:50,tucson,az,us,unknown,less than 1 sec.,Tucson Mysterious Streaks of Light,10/27/2004,-110.9258333
4/17/2003 04:00,starkville,ms,us,light,two minutes,BRIGHT LIGHT MOVING ACROSS SKY&#44 SLIGHTLY ZIG ZAGGING&#44 MET 2 OTHER FAINT LIGHTS...GONE,4/22/2003,-88.81833329999998
