datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
3/7/2001 00:02,santa monica,ca,us,fireball,3-5minutes,Glowing object in the sky&#44 which sparked with sparks&#44 that moved very unlike an airplane or helicopter.,3/16/2001,-118.4902778
2/5/2003 05:30,concord,nc,us,changing,hour,We were looking at it and it was so bright and it did fly down at the camcorder one time. It changed colors all the time.,3/21/2003,-80.5797222
7/24/2008 22:05,new port richey,fl,us,unknown,3 minutes,3 were here and gone in just a few blinks of the eyes &#33&#33&#33,8/12/2008,-82.7194444
11/6/2007 19:30,goodyear,az,us,changing,5 seconds,Strange lights appear in night sky over Goodyear Arizona.,11/28/2007,-112.3575
9/23/2002 06:15,swindon (uk/england),nan,gb,disk,3 - 4 secs,One thing before I start I must tell you that I am unsure of the date I saw the craft or object but I am sure it was late september ear,3/4/2003,-1.7833330000000005
12/15/1998 19:30,easton,pa,us,cigar,5 min.,While driving home with family&#44  heading south on 25th St.  Saw a cigar shaped craft&#44 with lights flying low&#44 slow and heading east tow,11/9/1999,-75.22111109999999
9/23/2008 04:20,lopez island,wa,nan,light,1hr 40min,A bright orange light in the southwestern sky,10/31/2008,-122.895512
12/12/2004 02:45,puyallup,wa,us,sphere,5 minutes,orange glowing object that drops smaller glowing ojects.,12/14/2004,-122.2916667
9/9/1984 22:00,california (entire west coast),ca,nan,cigar,hours,lots of &quot;them &quot;are already here&#44I saw so.       none below apply&#44was very clear shape&#44orange/red&#44in space,1/19/2005,-119.417932
12/24/2011 20:50,warminster,pa,us,other,1 minute,A long Bar like shaped craft with lights all along it witnessed by 2 people in Bucks County PA,1/12/2012,-75.1
2/21/2012 22:00,charleston,me,us,triangle,3 minutes,Triangle shaped 3 white lights silent hovering.,3/13/2012,-69.0411111
2/20/2010 22:00,marshall,mn,us,light,6-10 seconds,Green&#44 orb-like UFO spotted outside Marshall&#44 MN.,11/21/2010,-95.7880556
5/14/2004 21:40,santa rosa,ca,us,circle,45 sec,Orange circular object moved quickly to NE and was followed almost to the horizon.,6/4/2004,-122.7133333
5/1/1968 14:00,franconia notch (near),nh,nan,circle,~1 hour,Landing site?,12/2/2013,-71.679528
12/4/2004 22:13,elmhurst,il,us,light,15 mins,Bright flashing point of light,12/14/2004,-87.94027779999998
7/3/2005 09:45,sunnyvale,ca,us,sphere,2 minutes,various white spheres,7/5/2005,-122.0352778
4/28/2001 14:00,portland,or,us,fireball,about 3 min.,Immediately following a very loud&#44 sharp explosion there was a large burst of flame in the sky&#44 followed by dark smoke. of,8/5/2001,-122.675
3/5/2010 22:00,west chester,pa,us,triangle,30 minutes,Small triangular object with multi-color lights slowly moving,4/13/2010,-75.35611109999998
9/18/2003 22:00,lompoc,ca,us,flash,10-15 minutes,Bright red and orange lights darting back and forth made my cell phone lose reception and when they dissapeared my cell was working ok.,9/24/2003,-120.4569444
